Anlc mlsai iu cigwa kro'tickutamiwat. Anlc misai ||| Therefore such was how they there came into posses sion of fire.
Mri'madac papa'i'nabiwat pajik sa^na cigwa'kunamawan uglmi'kawawan i'i'ma kl*a*ltod rr11 upimiwanan. Mldac acikiwawat, intawa mlsana lni/u ka'plnawat mldac ini/u ka^kabacimawat. ||| Thereupon he walked peacefully on his way. When he perceived that he was approaching home, he then sought for a great depression in the ground. It was true that soon he saw where there was a great hollow. It was there he put down his pack. Now, when he started to go, he was told: "Look not back," thus he was told. But what he did was to look back. What was he to behold when he looked back? A host of sturgeons he saw where he had put down his pack. Truly, was he pleased to have put down his pack there. Thereupon he started on his homeward way. After he was come there where they lived, he was then asked by his wife: "Why did you not bring home the sweet-brier berries?"
"Kawln," ugri'nan. "Ayee," ugri'nan 'at;a/u Nanabucu; "kin kibikwa'k, niclmsa." ||| "Old woman, I have been blessed." Thereupon he did not sleep during the night, for he was so thoroughly happy. And this he avas told by his wife : " I wager that you failed to obey what was fruitlessly said to you."
;o "Aye8," ugri-nan; "nislmisa, kaga't nigi'katc," ugrrnan. ||| Now, he longed for the morning before it was time to appear. Soon then came the morning. "Now, then, old woman, get your tump-line. By no means a mere morsel have I seen," he said to his wife.
Mldac ka/rcikagi'tcinit. "Taga, uno/u midcin," l ugri'gon. ||| Thereupon truly on their way they started. When he came out upon the hill, gone was that which he had seen; for previously he had seen great abundance of sturgeons
Midac kaga't ka/rcimidcit ini'u aciganan. Clgwa utota'pinamini 48i/u utoginiwac, midac acisigwabinat. Kaslgwabinanit kahicimadcanit. Owabaman tacisigwa*i*ganit mi'ipman navvi'kwam, mlsa mlnawa ka'i'cimockina*a'nit ima11 umackimutank. ||| there where he had laid down his pack. So then he addressed the old woman, saying: "The place here was once full of sturgeons." And this he was told by his wife: "I dare say but that you have doubtless disobeyed," he was told by his wife.
Mldac ka-rci'u'mbiwana'rgut, o'6'widac ugri-gon : "Am- ||| "Yea," he said to her; "truly, 'Look not back,' I was told to no purpose."
ugi-i'gon. ||| And then was when he angered his wife. "Really in good sooth you are thoroughly incapable of giving heed to anything one tries to tell you."
Mldac kagalt ka i'cimadcat, ka'i'cimadciba'tod. Cigwa mlnawa awiya unontawa8 sa'kwanigut. Midac ka*i*nandank : ||| And this to her said Nanabushu : "Quite true, I did not do what I was uselessly told." And so then was he repentant.
minawa utaninantawabandan tciki'tciwana'kamiganig. Mldac ||| Now, from there they went searching round about, when truly they found some sturgeon-roe at the place where he had put down his pack. Whereupon they then went back home, so accordingly what they fetched home was what they cooked in the kettle.
ri'rna' ka'i'cipagitciwanat, midac kawin kiabababisi i'i'ma11 ||| And so once more was he already on his way, once more was he looking for (sweet-brier berries). Now, this was the only source he had to sustain his children. So it was every morning that he went to look for the sweetbrier berries. Nowr once, when they were very much in want of food, he went again to seek for the sweet-brier berries. Accordingly, as he was going across on the ice of the lake, and as he travelled along by the shore of the lake, again he heard the sound of something fall with a thud upon the ice. When he went up to it, he was surprised to see a great arrow that was there, with a bear-ear was it feathered. "Fool," he was told by some one, "is it your arrow, Nanabushu?"
ka'i'jipagitciwanat. Ka-ijitagwicink iwiti antawat, midac ||| "No," he said to him. "Yea," to him said Nanabushu; "it is your arrow, my younger brother."
uglkacki'tosln Ii8i/u tcinibat. Mldac anicagu ka/i'cicink o'O'dac ugrrnan Ini/u wlwan: "Kagii't mlnawa nintanugiicawantagus." ||| "I say, Nanabushu, kindle a fire. It seems that you are cold."
"Intacka kibwabablni'tanzimltug waylba mlnawa amantc ka/i'gowanan. Kitiniga'a'g kinltcanisinanig bablni'taman kago. Amn, kagona kigri'go?" ||| "Yes," he said to him- "my younger brother, truly I am cold," he said to him.
"Aye8, amantc midac ka-i-ciwabatogwan ; mldac igu 'iri/u ka'i'goyan ka'i'cictcigayan." ||| Thereupon the other removed his moccasins. "I say, eat these," l (Nanabushu) was told.
iiman kipipagitwanat, kaga't anm ka'rcinank iman klpagi- ||| Whereupon he then truly ate the stockings.
tciwanat wantcitagu mockinani mini'k i'i'ma11 wana'kami- ||| Now, the other took (Nanabushu's) bag of sweet-brier berries and poured them out. After he had emptied them out, he then started away. (Nanabushu) saw him chopping a hole far out upon the ice, and he was again filling his sack there.
ganig namawan mockinawan. Anlc mldac awatciwanawat ||| And when by the other he was helped with lifting on his pack, this was he then told : " I beg of you now take pains, and repeat not the same thing. What I have to tell you, that you do. Not again will I give you advice. This is the last time that I shall speak to you," he was told. "So then, start you hence," he was told.
kabagljik. "Mlmawin i'i>u tciwabanicink," ugrrnan ini/u ||| Thereupon truly off he started, off he went running. Presently another one he heard yelling to him. And then he thought: "Under no circumstances will I look, even though some one should hold back on my pack," he (thus) thought. Thereupon truly, as he was coming across on the ice, he then took a straight away course as he ran. Truly was he hard pressed by those whom he heard. "Ho, ho, ho, push Nanabushu!" was said of him. Now, it was true that he was not anxious to look behind. So then at last, after he had crossed the ice, there was then no one there on the land.
"Aye8," ugri'gon ; "mlsa i'i/>u pimatisiwat Igi/u kinltcan isinanig." ||| As he went walking along, he soon perceived that he was approaching where he lived. So again he sought for the place with a deep depression in the earth. And so after he had put down his pack there, he accordingly did not look back where he had put down his pack. When he was come at yonder place where he dwelt, he accord ingly did not speak to his wife. After he had gone to
Mldac ningtitinigu papamusat awiya owabaman, kuniginin tna'i'gana8 Izan. Ka'rcipipagimat, ka'plciicanit 'i'^ma11 ayat. ||| bed, he was not able to sleep. And after he had spent some time merely lying there, this he then said to his wife: "Truly, again to no purpose have I been blessed."
O'o'widac kri*ckitowag igi/u ma'i'nganag : "Kagu pacux alpitci ica'kagun, kago klwri'gowa," ugiina8. Mldac kaga't nagawasa wantcigabawiwat kanonawat. Wo'O'widac ugl•i'gowan : " Amantcwlni/u kltotamag ingutci wayabaminagogun? Kawinina indinawamaslwanan kitinandamina'ku ? Pacuginlnigu kitinawamininim ; migininigu Ia8a/u kosiwa ||| "I fancy that perhaps again you were not long remem bering what had been told you. You do our children a hurt by your failure to obey. What, was there something you were told?"
nldcikiwanzi." Oo'dac ugri'nangoman Ini/u alkiwanz!maTnganan : "Nltcizazfkizl," ugrrnan. Midac ka/rnat ini/u ugwisisini Ini/u alkiwanzImaTnganan. "Anlc nintocimag," ugrrna8 li':i'u maTngana8. Wo'crwidac ugrrnan : "Anlndi acayag? ugri'nan. " ||| "Yes, but it is uncertain how it will turn out; for according as I was told so I did."
"Wo'o'witi nlbinunk kini'tagfabanigf I^i/u kitocimaof. inldac ||| So presently they saw that the morrow was come. "Now, then, old woman!" he said to his wife. Accord ingly, after they had started off (and had come) to the place where he had left his pack, truly what was he to behold there where he had left his pack but a place full to the brim with as many sturgeons as the basin could hold. So therefore were they busy lugging throughout the day. "No doubt but that now we shall live through the winter," he said to his wife.
iiwiti acayang. Midac a'pana iwiti ki'a'santcikuyangiban ugimrkawiawabanin. Mldacigu iwiti ka'kina kaicra'santcikuyangiban mlciac iwiti anubimi'i'cayank." ||| "Yes," he was told; "therefore saved are our children."
Anlc, mlsa kaga't cigwa kra'niwawltclwat. Anlc kawln keclca" utibi'a'sm aniwidciwat. Ta'kasinini pimusawat. Midac cigwa unagucininig, "Mlmawlni ru cigwa tcinantaga- ||| And so in comfort with plenty to eat they continued there.
"Ayec, kaga't ningikatc." Anlc mlgu iu acimadwasininig ||| 8. NANABUSHU AND THE WOLVES. l
Ini/u wlbitan Ia8a/u Nanabucu, a'pltcikrkatcit. Midac kagiilt ||| Now, once on a time as he was travelling about, he saw somebody. Lo, they were wolves! After he had called aloud to them, then they came over to where he was.
Ini/u a4kiwanzima'i-nganan : "Taga, kimicomaiwa awi'i-'k ||| And this said the wolves: "Go you not so very close, for he wishes to say something to you," they said of him. Whereupon truly, at some distance away, was where they stood when they spoke to him. Then this they were told : "I should like to know why you act so whenever I happen to see you anywhere. Is it always your idea that I am not your kinsman? Why, I am very closely related to
Mldac kaga't pinanowaniwan Ini/u pacig, mlnawa ini/u pacio--, mitugigu kauntcinibat. Kaga'tsa klcungwan. Midac ningutinigu kuckusit, kaga'tsa abwaso. 0'6'wiclac krr'kito: "Kaga'tsa, nintabwackagunan Ini/u animowaniuwucan !" Ningutci ka'rcra^pagita'irt, o*o*dac uglmadwa'i'gon mi/u a'kiwanz!mainganan : "Kagatsa kitimlgamag Igi/u kitocimag," ugl'i'gon lni/u a4kiwanzlma'rnganan. ||| you ; now that father of yours is my brother." And this was the way he told of how he was related to the old Wolf: "He is of my old brother," he said to them. And this was what he said to the son of the old Wolf: "Why (you are) my nephews," he said to the Wolves. And this he said to them : "Whither are you going?" he said to them.
Anlc wlbagu mlnawa anigi'katci, anlc cigwa mlnawa madwawasininig Ini/u wlbitan. ||| "Off over here last summer your nephews did some killing, and it is thither we are going : for it was always there that we have cached what (my children) have found. Therefore over to the place where we had cached away everything is where we are endeavoring to go."
Mldac kaga't 'asa/u pacig ka'i'ciinanuwanit, minawa Ia8a/u pacig. ||| And this to them said Nanabushu : "So am I bound for that place too, therefore I will go along with you," he said to them.
Anlc migu mlnawa kra'niklcosit. ||| Well, it was true that he then went with them upon their journey. To be sure, he could hardly keep up as he travelled along with them. A cold wind was blowing as they went. And then as evening was coming on, "It is perhaps now time for us to look for a place to camp," they said. Thereupon they truly went seeking for a place to carnp. Very soon they found a place where they were to camp -, all about a spot where the wind had full sweep was where they prepared a place to camp. "Here is a place," they said. At once they made ready to lie down ; so after they had (each) circled a spot in which they were to lie, then the same thing did he when he lay down to sleep. This he was told by the old Wolf: "In among where lie your nephews do you lie too; it seems as if you were cold."
Midac kaga't kanlcimadcawat, midac anupimiba'tot ||| "Yes, indeed I am cold." Now, then the chatter of Nanabushu's teeth could be heard, so very cold was he. Thereupon truly, after he had lain down in the midst of where they lay, this then said the old Wolf: "Pray, let your uncle have the top-covering." l
tciglwlsiniyanguban," udigon Ini/u a'kiwa^zTma-rnganan. ||| Thereupon truly one of them tossed his tail over him, and the same (did) another ; so in that way he went to sleep. Truly, very warm he slept. And now, when once he woke, he truly was in a sweat. So this he said : "Forsooth, but now I am made to sweat by these old dog-tails !" When aside he had flung them, this he heard said to him by the old Wolf: "In truth, very shamefully you use your nephews," he was told by the old Wolf.
Mlsa kaga't cayigwa Nanabucu ina : "Taga, ani'a'tpltcipo- ||| So when in a little while he was again becoming cold,
Mlsa kaga't ka'ir'kwa'kwisitot, midac natunawat Ini/u utickuta'kanan. ||| then already again the chatter of his teeth could he heard.
Mldac kaga't pimiijawan i'i*man krtrkwa'kwisitot ini/u mi'tigon •, cayigwa acipacitcikwaskwanutaminit, panagum amiskwa'kunanig. ||| "Without doubt your uncle is already freezing to death. Why do you not again let him have your top-coverings?"
Mlsa' ka'i'ciwlsiniwat rrma11, mldac cigwa kra'nimadca- ||| Thereupon truly, after one had tossed his tail over him, then another (did) likewise.
wat ; anlc wrkagwatataguicinog. Kawln kanaga anuglpan- ||| Naturally then again he was warmed.
gicimtmit, nawantcic pimusawag. "Anlc, mritU pacu7 cigwa," ||| Well, it was now time for the morrow to come, so of course they were already anxious to be off again. So presently he was told by the old Wolf: "It is this evening that we shall arrive at the place for which we are bound, if only we hasten."
mldac i'i-ma11 ka'i'cikabaciwat kl'ircikawag. Cigwasa natas- ||| Thereupon truly, as on their way they started, then with effort went Nanabushu running. Now, once as they were walking along, "It surely must be time for us to have eaten," he was told by the old Wolf. It was true that presently Nanabushu was told: "Pray, go on ahead and have a fire built up."
antcigowag. Anlc kaya win mina aya'r, uto'pa'kunisag ||| Thereupon truly, after he had gathered his wood into a pile, he then sought for his flint.
